Name,Type,EX,EW,CR(PE),CR(PEW),CR,EN,VU,LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
ACTINOPTERYGII,Fish,82,11,128,8,707,"1,084","1,344",0,709,"14,493","4,581","23,011"
AMPHIBIA,Amphibian,34,2,151,1,681,"1,103",731,0,414,"3,174","1,177","7,316"
ANTHOZOA,Marine invertebrate,0,0,2,0,7,26,202,0,175,293,163,866
ARACHNIDA,Anthropod,9,0,21,0,73,107,71,0,23,94,64,441
ASTEROIDEA,Starfish,0,0,0,0,1,0,0,0,0,0,0,1
AVES,Bird,159,5,22,0,231,423,755,0,"1,002","8,540",47,"11,162"
BIVALVIA,Mollusc,32,0,15,0,84,69,61,4,58,340,168,816
BRANCHIOPODA,Crustacean,0,0,0,0,8,13,22,1,1,1,1,47
CEPHALASPIDOMORPHI,Fish,1,0,1,0,2,4,2,0,3,23,3,38
CEPHALOPODA,Mollusc,0,0,0,0,1,2,2,0,2,324,419,750
CHILOPODA,Anthropod,0,0,2,0,3,6,1,0,0,1,0,11
CHONDRICHTHYES,Fish,0,0,3,0,89,124,180,0,124,534,173,"1,224"
CLITELLATA,Worm,2,0,4,0,6,13,8,0,12,74,107,222
COLLEMBOLA,Hexapod,0,0,2,0,2,0,2,0,4,0,1,9
DIPLOPODA,Millipedes,3,0,4,0,35,32,15,0,66,52,41,244
ECHINOIDEA,Marine invertebrate,0,0,0,0,0,0,0,0,1,0,0,1
ENOPLA,Worm,1,0,1,0,1,1,1,0,0,1,1,6
GASTROPODA,Mollusc,267,14,134,2,632,527,"1,004",0,672,"2,680","1,648","7,444"
HEXANAUPLIA,Crustacean,1,0,0,0,1,0,24,8,0,0,3,37
HOLOTHUROIDEA,Marine invertebrate,0,0,0,0,0,7,9,0,0,111,244,371
HYDROZOA,Jellyfish,0,0,1,0,1,2,2,0,1,8,2,16
INSECTA,Insect,59,1,80,0,412,949,930,3,700,"5,986","3,121","12,161"
MALACOSTRACA,Crustacean,7,1,18,1,141,161,311,0,72,"1,204","1,130","3,027"
MAMMALIA,Mammal,85,2,29,0,232,549,556,0,375,"3,332",838,"5,969"
MAXILLOPODA,Crustacean,1,0,0,0,6,0,47,0,0,0,19,73
MEROSTOMATA,Marine invertebrate,0,0,0,0,0,1,1,0,0,0,2,4
MONOPLACOPHORA,Mollusc,0,0,0,0,0,0,0,0,0,1,0,1
MYXINI,Marine invertebrate,0,0,0,0,1,2,6,0,2,35,30,76
OSTRACODA,Crustacean,2,0,0,0,2,0,9,0,0,0,0,13
POLYCHAETA,Worm,0,0,0,0,1,0,0,0,0,0,1,2
POLYPLACOPHORA,Mollusc,0,0,0,0,0,1,0,0,1,0,0,2
REPTILIA,Reptile,32,2,48,0,433,787,625,2,565,"6,222","1,482","10,150"
SARCOPTERYGII,Fish,0,0,0,0,1,1,1,0,0,4,0,7
SOLENOGASTRES,Mollusc,0,0,0,0,0,0,1,0,2,1,0,4
TURBELLARIA,Worm,1,0,0,0,0,0,0,0,0,0,0,1
UDEONYCHOPHORA,Worm,0,0,0,0,3,2,4,0,1,0,1,11
Total,,778,38,666,12,"3,797","5,996","6,927",18,"4,985","47,528","15,467","85,534"
