Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial
Abutilon_ranadei,na,na,species,Malvaceae,Critically endangered,IND,tropical general,Phanerophyte,WP,Rediscovered,Abutilon_ranadei
Acacia_forrestiana,na,na,species,Fabaceae,Vulnerable,WAU,desert/dry shrubland,Phanerophyte,WP,Rediscovered,Acacia_forrestiana
Acacia_kingiana,na,na,species,Fabaceae,Extinct,WAU,desert/dry shrubland,Phanerophyte,WP,Extinct,Acacia_kingiana
Acacia_linearifolia,na,na,species,,,,,,,Synonym,Acacia_murrumboensis
Acacia_prismifolia,na,na,species,Fabaceae,Extinct,WAU,subtropical,Phanerophyte,WP,Extinct,Acacia_prismifolia
Acacia_vassalii,na,na,species,Fabaceae,Vulnerable,WAU,subtropical,Chamaephyte,WP,Rediscovered,Acacia_vassalii
Acacia_volubilis,na,na,species,Fabaceae,Critically endangered,WAU,subalpine/subarctic,Cham._or_nanophan.,WP,Rediscovered,Acacia_volubilis
Acaena_exigua,na,na,species,Rosaceae,Extinct in the wild,HAW,montane tropical,hemicr.,HP,Extinct,Acaena_exigua
Acalypha_subbullata,na,na,species,Euphorbiaceae,Critically endangered,PER,tropical general,Nanophan.,WP,Rediscovered,Acalypha_subbullata
Acalypha_wilderi,na,na,species,Euphorbiaceae,Extinct,COO,wet tropical,Nanophan._or_phan.,WP,Extinct,Acalypha_wilderi
Acanthocladium_dockeri,na,na,species,Asteraceae,Critically endangered,NSW,desert/dry shrubland,Phanerophyte,WP,Rediscovered,Acanthocladium_dockeri
Acanthocladium_dockeri,na,na,species,Asteraceae,Critically endangered,SOA,desert/dry shrubland,Phanerophyte,WP,Rediscovered,Acanthocladium_dockeri
Achyranthes_mangarevica,na,na,species,Amaranthaceae,Extinct,TUA,wet tropical,Nanophan.,WP,Extinct,Achyranthes_mangarevica
Achyranthes_mutica,na,na,species,Amaranthaceae,Critically endangered,HAW,wet tropical,Cham.,WP,Rediscovered,Achyranthes_mutica
Achyranthes_mutica,na,na,species,,,,,,,Synonym,Achyranthes_nelsonii
Achyranthes_splendens,var,atollensis,var,,,,,,,Synonym,Achyranthes_atollensis
Acianthus_ledwardii,na,na,species,Orchidaceae,Critically endangered,NSW,subtropical,Tuber_geophyte,HP,Rediscovered,Acianthus_ledwardii
Acianthus_ledwardii,na,na,species,Orchidaceae,Critically endangered,QLD,subtropical,Tuber_geophyte,HP,Rediscovered,Acianthus_ledwardii
Acmadenia_baileyensis,na,na,species,Rutaceae,Extinct in the wild,CPP,subtropical,Cham.,WP,Extinct,Acmadenia_baileyensis
Acmadenia_candida,na,na,species,Rutaceae,Extinct,CPP,subtropical,Cham.,WP,Extinct,Acmadenia_candida
Acronema_evoluta,na,na,species,Apiaceae,Extinct in the wild,ASS,temperate,Hemicr.,WP,Extinct,Acronema_evoluta
Adenia_natalensis,na,na,species,Passifloraceae,Extinct,NAT,subtropical,Cl._nanophan.,WP,Extinct,Adenia_natalensis
Aechmea_serrata,na,na,species,Bromeliaceae,Extinct in the wild,WIN,wet tropical,Hemicr.,WP,Extinct,Aechmea_serrata
Aegiphila_caymanensis,na,na,species,Lamiaceae,Critically endangered,CAY,wet tropical,Phanerophyte,WP,Rediscovered,Aegiphila_caymanensis
Aenhenrya_rotundifolia,na,na,species,,,,,,,Synonym,Anoectochilus_rotundifolius
Agalinis_caddoensis,na,na,species,Scrophulariaceae,Extinct,LOU,subtropical,Hemipar._ther.,A,Extinct,Agalinis_caddoensis
Agalinis_caddoensis,na,na,species,,,,,,,Synonym,Agalinis_strictifolia
Agalinis_nuttallii,na,na,species,Scrophulariaceae,Extinct,OKL,temperate,Hemipar._ther.,A,Extinct,Agalinis_nuttallii
Agalinis_nuttallii,na,na,species,Scrophulariaceae,Extinct,ARK,temperate,Hemipar._ther.,A,Extinct,Agalinis_nuttallii
Agalinis_setacea,na,na,species,,,,,,,Synonym,Agalinis_stenophylla
Agathosma_cordifolia,na,na,species,Rutaceae,NT,CPP,subtropical,Nanophan.,WP,Rediscovered,Agathosma_cordifolia
Agathosma_fraudulenta,na,na,species,Rutaceae,Extinct in the wild,CPP,subtropical,Nanophan.,WP,Extinct,Agathosma_fraudulenta
Agathosma_gnidiiflora,na,na,species,Rutaceae,Extinct,CPP,subtropical,Nanophan.,WP,Extinct,Agathosma_gnidiiflora
Agrostis_adamsonii,na,na,species,Poaceae,Endangered,VIC,subtropical,Hemicr.,WP,Rediscovered,Agrostis_adamsonii
Agrostis_limitanea,na,na,species,Poaceae,Endangered,SOA,subtropical,Hemicr.,WP,Rediscovered,Agrostis_limitanea
Alkanna_sartoriana,na,na,species,Boraginaceae,Critically endangered,GRC,subtropical,Hemicr.,WP,Rediscovered,Alkanna_sartoriana
Alkanna_viscidula,na,na,species,Boraginaceae,Extinct,TUR,temperate,Hemicr.,WP,Extinct,Alkanna_viscidula
Allium_altaicum,na,na,species,,,,,,,Synonym,Allium_microbulbum
Allium_chitralicum,na,na,species,,,,,,,Synonym,Allium_pauli
Allium_rouyi,na,na,species,Amaryllidaceae,Critically endangered,SPA,temperate,Bulb_geophyte,HP,Rediscovered,Allium_rouyi
Allium_sergii,na,na,species,Amaryllidaceae,Critically endangered,KAZ,temperate,Bulb_geophyte,HP,Rediscovered,Allium_sergii
Almeidea_longifolia,na,na,species,Rutaceae,Extinct,BZL,seasonally dry tropical,Phan.,WP,Extinct,Almeidea_longifolia
Aloe_oligophylla,na,na,species,Xanthorrhoeaceae,Extinct,MDG,seasonally dry tropical,Succ._cham.,WP,Extinct,Aloe_oligophylla
Alsinidendron_viscosum,na,na,species,Caryophyllaceae,Critically endangered,HAW,wet tropical,(Cl.)_cham.,WP,Rediscovered,Alsinidendron_viscosum
Alsinidendron_viscosum,na,na,species,,,,,,,Synonym,Schiedea_viscosa
Amaranthus_caudatus,na,na,species,,,,,,,Synonym,Amaranthus_mantegazzianus
Amperea_protensa,na,na,species,Euphorbiaceae,Critically endangered,WAU,desert/dry shrubland,Chamaephyte,WP,Rediscovered,Amperea_protensa
Amphibromus_whitei,na,na,species,Poaceae,Extinct,QLD,tropical general,Hemicr.,WP,Extinct,Amphibromus_whitei
Amphibromus_whitei,na,na,species,,,,,,,Synonym,Helictotrichon_whitei
