Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,,,,,,,,,,,,
Abutilon_ranadei,na,na,species,Malvaceae,CR,IND,T,Phanerophyte,WP,Rediscovered,Abutilon_ranadei,,,,,,,,,,,,
Acacia_forrestiana,na,na,species,Fabaceae,VU,WAU,DT,Phanerophyte,WP,Rediscovered,Acacia_forrestiana,,,,,,,,,,,,
Acacia_kingiana,na,na,species,Fabaceae,EX,WAU,DT,Phanerophyte,WP,Extinct,Acacia_kingiana,,,,,,,,,,,,
Acacia_linearifolia,na,na,species,,,,,,,Synonym,Acacia_murrumboensis,,,,,,,,,,,,
Acacia_prismifolia,na,na,species,Fabaceae,EX,WAU,S,Phanerophyte,WP,Extinct,Acacia_prismifolia,,,,,,,,,,,,
Acacia_vassalii,na,na,species,Fabaceae,VU,WAU,S,Chamaephyte,WP,Rediscovered,Acacia_vassalii,,,,,,,,,,,,
Acacia_volubilis,na,na,species,Fabaceae,CR,WAU,A,Cham._or_nanophan.,WP,Rediscovered,Acacia_volubilis,,,,,,,,,,,,
Acaena_exigua,na,na,species,Rosaceae,EW,HAW,TA,hemicr.,HP,Extinct,Acaena_exigua,,,,,,,,,,,,
Acalypha_subbullata,na,na,species,Euphorbiaceae,CR,PER,T,Nanophan.,WP,Rediscovered,Acalypha_subbullata,,,,,,,,,,,,
Acalypha_wilderi,na,na,species,Euphorbiaceae,EX,COO,WT,Nanophan._or_phan.,WP,Extinct,Acalypha_wilderi,,,,,,,,,,,,
Acanthocladium_dockeri,na,na,species,Asteraceae,CR,NSW,DT,Phanerophyte,WP,Rediscovered,Acanthocladium_dockeri,,,,,,,,,,,,
Acanthocladium_dockeri,na,na,species,Asteraceae,CR,SOA,DT,Phanerophyte,WP,Rediscovered,Acanthocladium_dockeri,,,,,,,,,,,,
Achyranthes_mangarevica,na,na,species,Amaranthaceae,EX,TUA,WT,Nanophan.,WP,Extinct,Achyranthes_mangarevica,,,,,,,,,,,,
Achyranthes_mutica,na,na,species,Amaranthaceae,CR,HAW,WT,Cham.,WP,Rediscovered,Achyranthes_mutica,,,,,,,,,,,,
Achyranthes_mutica,na,na,species,,,,,,,Synonym,Achyranthes_nelsonii,,,,,,,,,,,,
Achyranthes_splendens,var,atollensis,var,,,,,,,Synonym,Achyranthes_atollensis,,,,,,,,,,,,
Acianthus_ledwardii,na,na,species,Orchidaceae,CR,NSW,S,Tuber_geophyte,HP,Rediscovered,Acianthus_ledwardii,,,,,,,,,,,,
Acianthus_ledwardii,na,na,species,Orchidaceae,CR,QLD,S,Tuber_geophyte,HP,Rediscovered,Acianthus_ledwardii,,,,,,,,,,,,
Acmadenia_baileyensis,na,na,species,Rutaceae,EW,CPP,S,Cham.,WP,Extinct,Acmadenia_baileyensis,,,,,,,,,,,,
Acmadenia_candida,na,na,species,Rutaceae,EX,CPP,S,Cham.,WP,Extinct,Acmadenia_candida,,,,,,,,,,,,
Acronema_evoluta,na,na,species,Apiaceae,EW,ASS,G,Hemicr.,WP,Extinct,Acronema_evoluta,,,,,,,,,,,,
Adenia_natalensis,na,na,species,Passifloraceae,EX,NAT,S,Cl._nanophan.,WP,Extinct,Adenia_natalensis,,,,,,,,,,,,
Aechmea_serrata,na,na,species,Bromeliaceae,EW,WIN,WT,Hemicr.,WP,Extinct,Aechmea_serrata,,,,,,,,,,,,
Aegiphila_caymanensis,na,na,species,Lamiaceae,CR,CAY,WT,Phanerophyte,WP,Rediscovered,Aegiphila_caymanensis,,,,,,,,,,,,
Aenhenrya_rotundifolia,na,na,species,,,,,,,Synonym,Anoectochilus_rotundifolius,,,,,,,,,,,,
Agalinis_caddoensis,na,na,species,Scrophulariaceae,EX,LOU,S,Hemipar._ther.,A,Extinct,Agalinis_caddoensis,,,,,,,,,,,,
Agalinis_caddoensis,na,na,species,,,,,,,Synonym,Agalinis_strictifolia,,,,,,,,,,,,
Agalinis_nuttallii,na,na,species,Scrophulariaceae,EX,OKL,G,Hemipar._ther.,A,Extinct,Agalinis_nuttallii,,,,,,,,,,,,
Agalinis_nuttallii,na,na,species,Scrophulariaceae,EX,ARK,G,Hemipar._ther.,A,Extinct,Agalinis_nuttallii,,,,,,,,,,,,
Agalinis_setacea,na,na,species,,,,,,,Synonym,Agalinis_stenophylla,,,,,,,,,,,,
Agathosma_cordifolia,na,na,species,Rutaceae,NT,CPP,S,Nanophan.,WP,Rediscovered,Agathosma_cordifolia,,,,,,,,,,,,
Agathosma_fraudulenta,na,na,species,Rutaceae,EW,CPP,S,Nanophan.,WP,Extinct,Agathosma_fraudulenta,,,,,,,,,,,,
Agathosma_gnidiiflora,na,na,species,Rutaceae,EX,CPP,S,Nanophan.,WP,Extinct,Agathosma_gnidiiflora,,,,,,,,,,,,
